"Energy (MeV/amu)","Particle = photon_Depth = 0","Particle = electron_Depth = 0","Particle = positron_Depth = 0","Particle = mu-_Depth = 0","Particle = mu+_Depth = 0","Particle = pi-_Depth = 0","Particle = pi+_Depth = 0","Particle = neutron_Depth = 0","Particle = proton_Depth = 0","Particle = deuteron_Depth = 0","Particle = triton_Depth = 0","Particle = helion_Depth = 0","Particle = alpha_Depth = 0","Particle = Li6_Depth = 0","Particle = Li7_Depth = 0","Particle = Be8_Depth = 0","Particle = Be9_Depth = 0","Particle = B10_Depth = 0","Particle = B11_Depth = 0","Particle = C12_Depth = 0","Particle = C13_Depth = 0","Particle = N14_Depth = 0","Particle = N15_Depth = 0","Particle = O16_Depth = 0","Particle = O17_Depth = 0","Particle = F18_Depth = 0","Particle = F19_Depth = 0","Particle = Ne20_Depth = 0","Particle = Ne21_Depth = 0","Particle = Ne22_Depth = 0"
330.8495,0.000004234595,1.460394e-8,1.208739e-8,0.000003461585,0.000004671705,0.0008349259,0.001088509,1.7071,114.716,1.537012e-7,2.60265e-10,7.050972e-11,8.59084e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345.3702,0.000002014944,8.134381e-9,6.819171e-9,0.000003199603,0.000004335081,0.0007521434,0.000983997,1.475552,94.95865,8.327224e-8,2.418629e-10,6.581767e-11,8.68991e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359.5152,0.000001078177,4.789635e-9,4.04225e-9,0.000002957423,0.000004023112,0.0006774407,0.0008895273,1.280462,75.71268,4.523964e-8,2.382231e-10,6.493387e-11,8.815215e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373.3171,6.502264e-7,2.908458e-9,2.462382e-9,0.000002732475,0.000003732674,0.000609997,0.0008041038,1.115121,57.55406,2.437598e-8,2.394971e-10,6.531432e-11,8.948006e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386.8039,4.009179e-7,1.791836e-9,1.516511e-9,0.000002525469,0.000003464782,0.0005491245,0.0007268798,0.9742695,53.99629,1.302285e-8,2.423091e-10,6.608984e-11,9.073755e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,2.509882e-7,1.095984e-9,9.256889e-10,0.000002332434,0.000003214338,0.0004943,0.0006572065,0.8537308,50.51522,6.627532e-9,2.454462e-10,6.694581e-11,9.189718e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458.6163,3.189591e-8,1.070959e-10,9.076605e-11,0.000001615566,0.000002278288,0.0003010623,0.0004106128,0.4749701,35.05269,7.267943e-10,2.592532e-10,7.075099e-11,9.657872e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513.5421,4.587637e-9,1.44922e-11,1.247515e-11,0.000001115015,0.000001616485,0.0001820406,0.0002575901,0.2742291,20.56375,3.449086e-10,2.700089e-10,7.369762e-11,1.000708e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566.4912,7.444432e-10,3.072421e-12,2.736816e-12,7.635219e-7,0.000001145071,0.0001079416,0.0001611836,0.1614944,6.596247,3.346061e-10,2.786806e-10,7.607466e-11,1.028183e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617.352,1.557074e-10,1.1169e-12,1.025002e-12,5.212926e-7,8.146327e-7,0.00006230934,0.0001007205,0.09711175,1.989339e-9,3.423282e-10,2.858062e-10,7.80353e-11,1.050267e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666.9916,4.922427e-11,5.512674e-13,5.121368e-13,3.529444e-7,5.802294e-7,0.00003438341,0.00006270303,0.05911392,1.640092e-9,3.497038e-10,2.918402e-10,7.969586e-11,1.068519e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
